recall,precision
1.0,0.07900952380952381
1.0,0.07902156519088623
1.0,0.07902758725803993
1.0,0.07906976744186046
1.0,0.07912406531359682
1.0,0.07914218117988248
1.0,0.07916634857622719
1.0,0.07918448381185095
1.0,0.07919053073692249
1.0,0.07919657858561173
1.0,0.07920867705468988
1.0,0.07921472767550225
1.0,0.07922683169073268
1.0,0.07923288508557458
1.0,0.07923893940551692
1.0,0.07924499465077181
1.0,0.0792510508215514
1.0,0.07925710791806787
1.0,0.07926316594053352
1.0,0.07926922488916067
1.0,0.07928134556574924
1.0,0.07928740729413564
1.0,0.07929346994953357
1.0,0.0792995335321557
1.0,0.07930559804221475
1.0,0.07931166347992352
1.0,0.07931772984549487
1.0,0.07932379713914174
1.0,0.07932986536107711
1.0,0.07933593451151404
1.0,0.07934200459066565
1.0,0.07934807559874513
1.0,0.07935414753596572
1.0,0.07936022040254075
1.0,0.0793662941986836
1.0,0.07937236892460774
1.0,0.07937844458052663
1.0,0.07938452116665391
1.0,0.07939059868320318
1.0,0.07939667713038819
1.0,0.07940275650842267
1.0,0.07940883681752048
1.0,0.07941491805789554
1.0,0.07942100022976181
1.0,0.07942708333333333
1.0,0.0794331673688242
1.0,0.0794392523364486
1.0,0.07944533823642075
1.0,0.07945142506895495
1.0,0.07945751283426557
1.0,0.07946360153256705
1.0,0.07946969116407387
1.0,0.07947578172900062
1.0,0.0794818732275619
1.0,0.0794879656599724
1.0,0.07950015332720024
1.0,0.07950624856244728
1.0,0.07951234473240301
1.0,0.07951844183728242
1.0,0.07952453987730061
1.0,0.07953063885267275
1.0,0.07953673876361406
1.0,0.0795428396103398
1.0,0.07954894139306536
1.0,0.07955504411200613
1.0,0.07956114776737763
1.0,0.07956725235939538
1.0,0.07957335788827502
1.0,0.07957946435423222
1.0,0.07958557175748274
1.0,0.07959168009824238
1.0,0.07959778937672705
1.0,0.07960389959315269
1.0,0.0796100107477353
1.0,0.07961612284069097
1.0,0.07962223587223587
1.0,0.0796283498425862
1.0,0.07963446475195822
1.0,0.0796405806005683
1.0,0.07964669738863288
1.0,0.07965281511636839
1.0,0.0796589337839914
1.0,0.07966505339171852
1.0,0.07967117393976644
1.0,0.0796772954283519
1.0,0.07968341785769172
1.0,0.07968954122800277
1.0,0.079695665539502
1.0,0.07970179079240643
1.0,0.07970791698693312
1.0,0.07971404412329926
1.0,0.07972017220172202
1.0,0.0797263012224187
1.0,0.07973243118560665
1.0,0.07973856209150326
1.0,0.07974469394032606
